Umsteigebauwerke,,,,,,,,,,,,,
,,,,,,,,,,,,,
Typ,Nr.,Name,Umsteigebauwerk_niveau  ,X,Y,Exportnummer,HAFAS-Nr.,,,,,,
Zugang und ÖV,16,Bushaltestelle Wiesbadener Straße hinter Friedrich-Wilhelm-Platz,0,4590282,5816211,9704516,,,,,,,
,,,,,,,,,,,,,
Bauwerk,26,U Schloßstraße,,4590150,5815044,62203,9062203,,,,,,
ÖV,2,Bahnsteig Gleis 2+4 U9 Richtung Osloer Straße,-2,4590134,5815017,9704602,,,,,,,
Zugang,3,Zugang (Treppe) Zimmermannstraße,0,4590020,5814844,9704603,,,,,,,
Zugang,10,Zugang (Rolltreppe) Schloßstraße/Schildhornstraße,0,4590149,5815094,9704610,,,,,,,
Zugang,11,Zugang (Treppe) Schloßstraße/Ahornstraße,0,4590131,5815048,9704611,,,,,,,
Zwischenpunkt,18,Bahnsteig U9 Rathaus Steglitz (Treppe zum Zwischengeschoss Schloßstraße),-3,4590160,5815061,9704618,,,,,,,
Zwischenpunkt,26,Bahnsteig U9 Osloer Straße (Treppe zum Zwischengeschoss Schloßstraße),-2,4590159,5815061,9704626,,,,,,,
Zwischenpunkt,30,Zwischengeschoss Schloßstraße (Treppe Schloßstraße/Ahornstraße),-1,4590159,5815060,9704630,,,,,,,
Zwischenpunkt,37,Zwischengeschoss Schloßstraße (Rolltreppe zum Bahnsteig U9 Osloer Straße),-1,4590159,5815061,9704637,,,,,,,
Zwischenpunkt,38,Zwischengeschoss Schloßstraße (Treppe zum Bahnsteig U9 Osloer Straße),-1,4590159,5815061,9704638,,,,,,,
Zwischenpunkt,40,Zwischengeschoss Deitmerstraße (Treppe zum Bahnsteig U9 Rathaus Steglitz),-1,4590160,5815059,9704640,,,,,,,
Zwischenpunkt,41,Zwischengeschoss Deitmerstraße (Treppe Deitmerstraße),-1,4590159,5815060,9704641,,,,,,,
Zugang,5,Zugang (Treppe) Schloßstraße/Hubertusstraße/Florastraße,0,4590190,5815065,9704605,,,,,,,
Zugang,9,Zugang (Treppe) Schloßstraße/Schildhornstraße,0,4590146,5815090,9704609,,,,,,,
Zwischenpunkt,27,Zwischengeschoss Schloßstraße (Rolltreppe Bahnsteig U9 Rathaus Steglitz),-1,4590159,5815061,9704627,,,,,,,
Zwischenpunkt,34,Zwischengeschoss Schloßstraße (RolltreppeSchloßstraße/Treitschkestraße),-1,4590159,5815061,9704634,,,,,,,
Zwischenpunkt,35,Zwischengeschoss Schloßstraße (Treppe Schloßstraße/Hubertusstraße/Florastraße),-1,4590159,5815061,9704635,,,,,,,
Zwischenpunkt,36,Zwischengeschoss Schloßstraße (RolltreppeSchloßstraße/Hubertusstraße/Florastraße),-1,4590159,5815061,9704636,,,,,,,
Zwischenpunkt,44,Zwischengeschoss Deitmerstraße (Treppe zum Bahnsteig U9 Osloer Straße),-1,4590159,5815060,9704644,,,,,,,
Zugang,6,Zugang (Rolltreppe) Schloßstraße/Hubertusstraße/Florastraße,0,4590191,5815067,9704606,,,,,,,
Zugang und ÖV,14,Bushaltestelle Schloßstraße vor Schildhornstraße,0,4590194,5815153,9704614,,,,,,,
Zwischenpunkt,23,Bahnsteig U9 Osloer Straße (Treppe zum Zwischengeschoss Deitmerstraße),-2,4590159,5815060,9704623,,,,,,,
Zwischenpunkt,25,Bahnsteig U9 Osloer Straße (Rolltreppe Zwischengeschoss Schloßstraße),-2,4590159,5815060,9704625,,,,,,,
Zwischenpunkt,29,Zwischengeschoss Schloßstraße (Rolltreppe Schloßstraße/Ahornstraße),-1,4590159,5815061,9704629,,,,,,,
Zwischenpunkt,31,Zwischengeschoss Schloßstraße (Treppe Schloßstraße/Schildhornstraße),-1,4590159,5815061,9704631,,,,,,,
Zwischenpunkt,42,Zwischengeschoss Deitmerstraße (Treppe Zimmermannstraße),-1,4590159,5815061,9704642,,,,,,,
Zwischenpunkt,43,Zwischengeschoss Deitmerstraße (Rolltreppe zum Bahnsteig U9 Osloer Straße),-1,4590159,5815060,9704643,,,,,,,
Zugang,7,Zugang (Treppe) Schloßstraße/Treitschkestraße,0,4590181,5815126,9704607,,,,,,,
Zugang,8,Zugang (Rolltreppe) Schloßstraße/Treitschkestraße,0,4590177,5815128,9704608,,,,,,,
Zwischenpunkt,24,Bahnsteig U9 Osloer Straße (Treppe zum Bahnsteig U9 Rathaus Steglitz),-2,4590159,5815060,9704624,,,,,,,
Zwischenpunkt,39,Zwischengeschoss Deitmerstraße (Rolltreppe Bahnsteig U9 Rath Steglitz),-1,4590160,5815061,9704639,,,,,,,
Zugang,4,Zugang (Treppe) Deitmerstraße,0,4590075,5814884,9704604,,,,,,,
Zugang und ÖV,15,Bushaltestelle Schildhornstraße vor Schloßstraße,0,4590112,5815076,9704615,,,,,,,
Zwischenpunkt,21,Bahnsteig U9 Rathaus Steglitz (Treppe zum Zwischengeschoss Deitmerstraße),-3,4590160,5815060,9704621,,,,,,,
Zwischenpunkt,22,Bahnsteig U9 Osloer Straße (Rolltreppe Zwischengeschoss Deitmerstraße),-2,4590160,5815061,9704622,,,,,,,
Zwischenpunkt,32,Zwischengeschoss Schloßstraße (Rolltreppe Schloßstraße/Schildhornstraße),-1,4590160,5815061,9704632,,,,,,,
Zwischenpunkt,33,Zwischengeschoss Schloßstraße (Treppe Schloßstraße/Treitschkestraße),-1,4590159,5815061,9704633,,,,,,,
Zugang und ÖV,16,Bushaltestelle Schildhornstraße hinter Schloßstraße,0,4590141,5815126,9704616,,,,,,,
Zwischenpunkt,17,Bahnsteig U9 Rathaus Steglitz (Rolltreppe zum Zwischengeschoss Schloßstraße),-3,4590160,5815061,9704617,,,,,,,
ÖV,1,Bahnsteig Gleis 1+3 U9 Richtung Rathaus Steglitz,-3,4590129,5815008,9704601,,,,,,,
Zugang,12,Zugang (Rolltreppe) Schloßstraße/Ahornstraße,0,4590126,5815050,9704612,,,,,,,
Zugang und ÖV,13,Bushaltestelle Schloßstraße hinter Hubertusstraße,0,4590183,5815071,9704613,,,,,,,
Zwischenpunkt,19,Bahnsteig U9 Rathaus Steglitz (Treppe zum Bahnsteig U9 Osloer Straße),-3,4590160,5815060,9704619,,,,,,,
Zwischenpunkt,20,Bahnsteig U9 Rathaus Steglitz (Rolltreppe Zwischengeschoss Deitmerstraße),-3,4590160,5815061,9704620,,,,,,,
Zwischenpunkt,28,Zwischengeschoss Schloßstraße (Treppe zum Bahnsteig U9 Rathaus Steglitz),-1,4590159,5815060,9704628,,,,,,,
,,,,,,,,,,,,,
Bauwerk,27,U Walther-Schreiber-Platz,,4590410,5815460,61101,9061101,,,,,,
Zugang,1,Zugang (Treppe) Bundesallee/Handjerystraße,0,4590381,5815657,9704701,,,,,,,
Zugang und ÖV,6,Bushaltestelle Bundesallee hinter Rheinstraße,0,4590387,5815547,9704706,,,,,,,
Zwischenpunkt,18,Zwischengeschoss Bundesallee (Treppe Bundesallee/Handjerystraße),-1,4590374,5815647,9704718,,,,,,,
Zwischenpunkt,21,Zwischengeschoss Walther-Schreiber-Platz (Treppe Walther-Schreiber-Platz),-1,4590378,5815499,9704721,,,,,,,
Zugang,26,Zugang (Rolltreppe) Bundesallee/Rheinstraße,0,4590396,5815525,9704726,,,,,,,
Zugang,3,Zugang (Treppe) Bundesallee/Rheinstraße,0,4590396,5815525,9704703,,,,,,,
Zwischenpunkt,14,Zwischengeschoss Walther-Schreiber-Platz (Rolltreppe Bahnsteig U9),-1,4590378,5815499,9704714,,,,,,,
Zwischenpunkt,23,Zwischengeschoss Walther-Schreiber-Platz (Treppe Bundesallee/Rheinstraße),-1,4590378,5815499,9704723,,,,,,,
Zwischenpunkt,24,Zwischengeschoss Walther-Schreiber-Platz (Rolltreppe Bundesallee/Rheinstraße),-1,4590378,5815499,9704724,,,,,,,
Zwischenpunkt,30,Zwischengeschoss Walter-Schreiber-Platz (Aufzug Walter-Schreiber-Platz/Bornstraße),-1,4590378,5815498,9704730,,,,,,,
Zugang und ÖV,8,Bushaltestelle Schloßstraße/Forum Steglitz,0,4590325,5815397,9704708,,,,,,,
Zugang und ÖV,5,Bushaltestelle Rheinstraße hinter Schöneberger Straße,0,4590430,5815514,9704705,,,,,,,
Zwischenpunkt,29,Zwischengeschoss Walter-Schreiber-Platz (Aufzug zum Bahnsteig U9),-1,4590378,5815499,9704729,,,,,,,
Zwischenpunkt,16,Bahnsteig U9 (Rolltreppe Zwischengeschoss Bundesallee),-2,4590375,5815573,9704716,,,,,,,
Zwischenpunkt,20,Zwischengeschoss Bundesallee (Treppe Bundesallee/Fröaufstraße),-1,4590374,5815647,9704720,,,,,,,
Zwischenpunkt,27,Zwischengeschoss Bundesallee (Treppe zum Bahnsteig U9),-1,4590374,5815647,9704727,,,,,,,
Zwischenpunkt,17,Zwischengeschoss Bundesallee (Rollrtreppe zum Bahnsteig U9),-1,4590374,5815647,9704717,,,,,,,
Zugang und ÖV,7,Bushaltestelle Bundesallee vor Schloßstraße,0,4590366,5815503,9704707,,,,,,,
Zwischenpunkt,12,Bahnsteig U9 (Rolltreppe Zwischengeschoss Walther-Schreiber-Platz),-2,4590375,5815574,9704712,,,,,,,
Zwischenpunkt,13,Zwischengeschoss Walther-Schreiber-Platz (Treppe zum Bahnsteig U9),-1,4590378,5815499,9704713,,,,,,,
Zwischenpunkt,11,Bahnsteig U9 (Treppe Zwischengeschoss Walther-Schreiber-Platz),-2,4590375,5815573,9704711,,,,,,,
Zwischenpunkt,22,Zwischengeschoss Walther-Schreiber-Platz (Rolltreppe Walther-Schreiber-Platz),-1,4590378,5815499,9704722,,,,,,,
Zwischenpunkt,31,Bahnsteig U9 (Aufzug Zwischengeschoss Walther-Schreiber-Platz),-2,4590378,5815498,9704731,,,,,,,
Zugang,2,Zugang (Treppe) Bundesallee/Fröaufstraße,0,4590367,5815657,9704702,,,,,,,
Zugang,4,Zugang (Treppe) Walther-Schreiber-Platz/Bornstraße,0,4590361,5815482,9704704,,,,,,,
ÖV,10,Bahnsteig U9,-2,4590375,5815573,9704710,,,,,,,
Zwischenpunkt,15,Bahnsteig U9 (Treppe Zwischengeschoss Bundesallee),-2,4590375,5815574,9704715,,,,,,,
Zugang,25,Zugang (Rolltreppe) Walther-Schreiber-Platz/Bornstraße,0,4590361,5815482,9704725,,,,,,,
Zugang,28,Zugang (Aufzug) Walther-Schreiber-Platz/Bornstraße,0,4590357,5815492,9704728,,,,,,,
,,,,,,,,,,,,,
Bauwerk,28,U Johannisthaler Chaussee,,4598990,5811660,82202,9082202,,,,,,
Zugang,5,Zugang (Rolltreppe) Johannisthaler Chaussee,0,4598966,5811657,9704805,,,,,,,
Zwischenpunkt,9,Bahnsteig U7 (Rolltreppe  Zwischengeschoss),-1,4598956,5811661,9704809,,,,,,,
Zwischenpunkt,10,Bahnsteig U7 (Treppe zum Zwischengeschoss),-1,4598956,5811662,9704810,,,,,,,
Zwischenpunkt,13,Zwischengeschoss (Rolltreppe zum Bahnsteig U7),1,4598956,5811661,9704813,,,,,,,
Zwischenpunkt,16,Bahnsteig U7 (Rolltreppe  Johannisthaler Chaussee),-1,4598956,5811661,9704816,,,,,,,
Zwischenpunkt,15,Zwischengeschoss (Rampe zum Höltermannsteig/Otto-Wels-Ring),1,4598956,5811662,9704815,,,,,,,
ÖV,1,Bahnsteig U7,-1,4598955,5811670,9704801,,,,,,,
Zwischenpunkt,12,Zwischengeschoss (Treppe zum Bahnsteig U7),1,4598956,5811662,9704812,,,,,,,
Zugang,3,Zugang (Aufzug) Höltermannsteig/Otto-Wels-Ring,0,4598939,5811697,9704803,,,,,,,
Zugang,4,Zugang (Rampe) Höltermannsteig/Otto-Wels-Ring,0,4598947,5811709,9704804,,,,,,,
Zwischenpunkt,11,Bahnsteig U7 (Aufzug zum Höltermannsteig/Otto-Wels-Ring),-1,4598956,5811661,9704811,,,,,,,
Zugang,2,Zugang (Treppe) Höltermannsteig/Otto-Wels-Ring,0,4598943,5811708,9704802,,,,,,,
Zugang,6,Zugang (Treppe) Johannisthaler Chaussee,0,4598973,5811655,9704806,,,,,,,
Zugang und ÖV,7,Bushaltestelle Johannisthaler Chaussee vor U Bahnhof Johannisthaler Chaussee,0,4598963,5811701,9704807,,,,,,,
Zugang und ÖV,8,Bushaltestelle Johannisthaler Chaussee hinter Kirschnerweg,0,4598965,5811674,9704808,,,,,,,
Zwischenpunkt,14,Zwischengeschoss (Treppe Höltermannsteig/Otto-Wels-Ring),1,4598955,5811661,9704814,,,,,,,
Zwischenpunkt,17,Bahnsteig U7 (Treppe  Johannisthaler Chaussee),-1,4598955,5811661,9704817,,,,,,,
,,,,,,,,,,,,,
Bauwerk,29,U Rudow,,4601970,5810210,83201,9083201,,,,,,
Zwischenpunkt,16,Zwischengeschoss Neuköllner Straße (Treppe Alt-Rudow/Neuköllner Straße),-1,4601909,5810244,9704916,,,,,,,
Zugang und ÖV,8,"Bushaltestelle Positionsnummer 3, Groß-Ziethener Chaussee vor Alt-Rudow",0,4601971,5810233,9704908,,,,,,,
Zugang,2,Zugang (Treppe) Alt-Rudow/Neuköllner Straße,0,4601915,5810241,9704902,,,,,,,
Zugang und ÖV,13,Bushaltestelle Alt-Rudow vor Groß-Ziethener Chaussee,0,4601964,5810283,9704913,,,,,,,
Zwischenpunkt,23,Bahnsteig U7 (Treppe zum Treppenabsatz Am Hanffgraben/Neuköllner Straße),-2,4601790,5810312,9704923,,,,,,,
Zugang,4,Zugang (Aufzug) Neuköllner Straße,0,4601840,5810269,9704904,,,,,,,
ÖV,1,Bahnsteig U7,-2,4601817,5810289,9704901,,,,,,,
Zwischenpunkt,20,Bahnsteig U7 (Treppe Zwischengeschoss Neuköllner Straße),-2,4601866,5810252,9704920,,,,,,,
Zwischenpunkt,22,Bahnsteig U7 (Aufzug Neuköllner Straße),-2,4601840,5810269,9704922,,,,,,,
Zugang und ÖV,12,"Bushaltestelle Positionsnummer 4, Groß-Ziethener Chaussee hinter Neuköllner Straße",0,4601885,5810192,9704912,,,,,,,
Zwischenpunkt,19,Treppenabsatz Am Hanffgraben/Neuköllner Straße (Treppe Am Hanffgraben/Neuköllner Straße),-1,4601779,5810321,9704919,,,,,,,
Zugang und ÖV,24,Bushaltestelle Waltersdorfer Chaussee vor Groß-Ziethener-Chaussee,0,4602018,5810235,9704924,,,,,,,
Zugang und ÖV,25,Bushaltestelle Neuköllner Straße vor Groß-Ziethener Chaussee,0,4601868,5810237,9704925,,,,,,,
Zugang und ÖV,6,"Bushaltestelle Positionsnummer 1, Groß-Ziethener Chaussee hinter Alt-Rudow",0,4601950,5810246,9704906,,,,,,,
Zugang,3,Zugang (Treppe) Neuköllner Straße/Groß-Ziethener Chaussee,0,4601876,5810209,9704903,,,,,,,
Zugang und ÖV,7,"Bushaltestelle Positionsnummer 2, Neuköllner Straße hinter Groß-Ziethener Chaussee",0,4601883,5810252,9704907,,,,,,,
Zwischenpunkt,17,Zwischengeschoss Neuköllner Straße (Treppe Neuköllner Straße/Groß-Ziethener Chaussee),-1,4601880,5810213,9704917,,,,,,,
Zugang und ÖV,9,Bushaltestelle Waltersdorfer Chaussee hinter Groß-Ziethener-Chaussee,0,4602013,5810221,9704909,,,,,,,
Zwischenpunkt,21,Bahnsteig U7 (Rolltreppe Zwischengeschoss Neuköllner Straße),-2,4601864,5810250,9704921,,,,,,,
Zwischenpunkt,18,Treppenabsatz Am Hanffgraben/Neuköllner Straße (Treppe zum Bahnsteig U7),-1,4601786,5810315,9704918,,,,,,,
Zwischenpunkt,14,Zwischengeschoss Neuköllner Straße (Treppe zum Bahnsteig U7),-1,4601870,5810249,9704914,,,,,,,
Zugang und ÖV,10,Bushaltestelle Groß-Ziethener Chaussee vor Neuköllner Straße,0,4601905,5810191,9704910,,,,,,,
Zwischenpunkt,15,Zwischengeschoss Neuköllner Straße (Rolltreppe zum Bahnsteig U7),-1,4601868,5810247,9704915,,,,,,,
Zugang und ÖV,11,Bushaltestelle Neuköllner Straße hinter Waltersdorfer Chaussee,0,4601987,5810187,9704911,,,,,,,
Zugang,5,Zugang (Treppe) Am Hanffgraben/Neuköllner Straße,0,4601773,5810328,9704905,,,,,,,
,,,,,,,,,,,,,
Bauwerk,30,U Zwickauer Damm,,4601080,5811010,83101,9083101,,,,,,
Zwischenpunkt,9,Zwischengeschoss (Treppe zum Zugang),1,4601051,5811049,9721809,,,,,,,
ÖV,1,Bahnsteig U7,-1,4601058,5811046,9721801,,,,,,,
Zugang,2,Zugang (Treppe),0,4601065,5811040,9721802,,,,,,,
Zugang und ÖV,3,Bushaltestelle Zwickauer Damm hinter Sattlerstraße,0,4601092,5811038,9721803,,,,,,,
Zwischenpunkt,5,Bahnsteig U7 (Treppe zum Zwischengeschoss),-1,4601051,5811049,9721805,,,,,,,
Zugang und ÖV,4,Bushaltestelle Zwickauer Damm nahe U Bahnzugang,0,4601061,5811030,9721804,,,,,,,
Zugang und ÖV,11,Bushaltestelle Neuköllner Straße hinter Zwickauer Damm,0,4601166,5811102,9721811,,,,,,,
Zwischenpunkt,7,Zwischengeschoss (Treppe zum Bahnsteig U7),1,4601051,5811049,9721807,,,,,,,
Zwischenpunkt,6,Bahnsteig U7 (Rolltreppe zum Zwischengeschoss),-1,4601052,5811049,9721806,,,,,,,
Zwischenpunkt,8,Zwischengeschoss (Rolltreppe zum Bahnsteig U7),1,4601051,5811049,9721808,,,,,,,
Zugang und ÖV,10,Bushaltestelle Neuköllner Straße hinter Stubenrauchstraße,0,4601129,5811182,9721810,,,,,,,
,,,,,,,,,,,,,
Bauwerk,31,U Wutzkyallee,,4600430,5811010,83102,9083102,,,,,,
Zugang,2,Zugang (Treppe) Wutzkyallee/Horst-Caspar-Steig,0,4600421,5811034,9705202,,,,,,,
ÖV,1,Bahnsteig U7,-1,4600421,5811028,9705201,,,,,,,
Zugang und ÖV,9,Bushaltestelle Fritz-Erler-Allee vor Efeuweg,0,4600394,5811309,9705209,,,,,,,
Zwischenpunkt,3,Bahnsteig U7 (Treppe zum Zwischengeschoss),-1,4600420,5811029,9705203,,,,,,,
Zwischenpunkt,4,Bahnsteig U7 (Rolltreppe zum Zwischengeschoss),-1,4600420,5811029,9705204,,,,,,,
Zwischenpunkt,5,Zwischengeschoss (Treppe zum Bahnsteig U7),1,4600421,5811028,9705205,,,,,,,
Zugang und ÖV,8,Bushaltestelle Fritz-Erler-Allee vor Wutzkyallee,0,4600332,5811292,9705208,,,,,,,
Zwischenpunkt,6,Zwischengeschoss (Rolltreppe zum Bahnsteig U7),1,4600422,5811029,9705206,,,,,,,
Zwischenpunkt,7,Zwischengeschoss (Treppe zum Zugang Wutzkyallee/Horst-Caspar-Steig),1,4600421,5811029,9705207,,,,,,,
,,,,,,,,,,,,,
Bauwerk,32,U Lipschitzallee,,4599630,5811160,82201,9082201,,,,,,
ÖV,1,Bahnsteig U7,-1,4599556,5811172,9705301,,,,,,,
Zugang,2,Zugang (Treppe) Lipschitzallee,0,4599588,5811147,9705302,,,,,,,
Zugang und ÖV,5,Bushaltestelle Lipschitzallee vor Ullrich-von-Hassel-Weg,0,4599655,5811132,9705305,,,,,,,
Zwischenpunkt,6,Bahnsteig U7 (Treppe zum Zwischengeschoss),-1,4599551,5811175,9705306,,,,,,,
Zwischenpunkt,10,Zwischengeschoss (Rolltreppe zum Bahnsteig U7),1,4599551,5811175,9705310,,,,,,,
Zugang,3,Zugang (Aufzug) Lipschitzallee,0,4599595,5811146,9705303,,,,,,,
Zwischenpunkt,7,Bahnsteig U7 (Rolltreppe zum Zwischengeschoss),-1,4599551,5811175,9705307,,,,,,,
Zugang und ÖV,4,Bushaltestelle Lipschitzallee höhe Haus Nr.70,0,4599643,5811149,9705304,,,,,,,
Zwischenpunkt,8,Bahnsteig U7 (Aufzug zum Zugang Lipschitzallee),-1,4599551,5811175,9705308,,,,,,,
Zwischenpunkt,9,Zwischengeschoss (Treppe zum Bahnsteig U7),1,4599551,5811175,9705309,,,,,,,
Zwischenpunkt,11,Zwischengeschoss (Treppe zum Zugang Lipschitzallee),1,4599551,5811175,9705311,,,,,,,
,,,,,,,,,,,,,
Bauwerk,33,U Britz-Süd,,4598596,5812505,80402,9080402,,,,,,
Zwischenpunkt,10,Bahnsteig U7 (Treppe Gutschmidtstraße/Fritz-Reuter-Allee/Krankenhaus),-1,4598599,5812577,9705410,,,,,,,
Zugang,2,Zugang (Treppe) Fritz-Reuter-Allee/Bruno-Taut-Ring,0,4598574,5812636,9705402,,,,,,,
Zugang und ÖV,7,Bushaltestelle Gutschmidtstraße 27-31,0,4598525,5812499,9705407,,,,,,,
Zugang,5,Zugang (Aufzug) Gutschmidtstraße/Fritz-Reuter-Allee/Krankenhaus,0,4598607,5812547,9705405,,,,,,,
Zwischenpunkt,12,Bahnsteig U7 (Aufzug Gutschmidtstraße/Fritz-Reuter-Allee/Krankenhaus),-1,4598607,5812547,9705412,,,,,,,
ÖV,1,Bahnsteig U7,-1,4598593,5812590,9705401,,,,,,,
Zugang,3,Zugang (Treppe) Gutschmidtstraße/Fritz-Reuter-Allee/Krankenhaus,0,4598605,5812541,9705403,,,,,,,
Zugang und ÖV,8,Bushaltestelle Gutschmidtstraße hinter Fritz-Reuter-Straße,0,4598604,5812505,970548,,,,,,,
Zugang,4,Zugang (Rolltreppe) Gutschmidtstraße/Fritz-Reuter-Allee/Krankenhaus,0,4598603,5812541,9705404,,,,,,,
Zwischenpunkt,11,Bahnsteig U7 (Rolltreppe Gutschmidtstraße/Fritz-Reuter-Allee/Krankenhaus),-1,4598599,5812577,9705411,,,,,,,
Zwischenpunkt,9,Bahnsteig U7 (Treppe  Fritz-Reuter-Allee/Bruno-Taut-Ring),-1,4598599,5812577,9705409,,,,,,,
Zugang und ÖV,6,Bushaltestelle Gutschmidtstraße vor Fritz-Reuter-Straße,0,4598595,5812520,9705406,,,,,,,
,,,,,,,,,,,,,
Bauwerk,34,U Parchimer Allee,,4598690,5813440,80401,9080401,,,,,,
ÖV,1,Bahnsteig U7,-1,4598667,5813380,9705501,,,,,,,
Zwischenpunkt,12,Bahnsteig U7 (Treppe Parchimer Allee/Schloß Britz/Fritz-Reuter-Allee),-1,4598676,5813442,9705512,,,,,,,
Zwischenpunkt,10,Bahnsteig U7 (Treppe Gielowerstraße/Bildungswerk/Fritz-Reuter-Allee),-1,4598647,5813321,9705510,,,,,,,
Zugang und ÖV,9,Bushaltestelle Fritz-Reuter-Allee vor Parchimer Allee,0,4598691,5813450,9705509,,,,,,,
Zwischenpunkt,13,Bahnsteig U7 (Rolltreppe Parchimer Allee/Schloß Britz/Fritz-Reuter-Allee),-1,4598674,5813442,9705513,,,,,,,
Zugang,3,Zugang (Rolltreppe) Gielowerstraße/Bildungswerk/Fritz-Reuter-Allee,0,4598643,5813309,9705503,,,,,,,
Zwischenpunkt,11,Bahnsteig U7 (Rolltreppe Gielowerstraße/Bildungswerk/Fritz-Reuter-Allee),-1,4598650,5813320,9705511,,,,,,,
Zugang und ÖV,8,Bushaltestelle Fritz-Reuter-Allee hinter Parchimer Allee,0,4598674,5813410,9705508,,,,,,,
Zugang,5,Zugang (Rolltreppe) Parchimer Allee/Schloß Britz/Fritz-Reuter-Allee,0,4598677,5813454,9705505,,,,,,,
Zugang,2,Zugang (Treppe) Gielowerstraße/Bildungswerk/Fritz-Reuter-Allee,0,4598646,5813308,9705502,,,,,,,
Zugang,4,Zugang (Treppe) Parchimer Allee/Schloß Britz/Fritz-Reuter-Allee,0,4598675,5813454,9705504,,,,,,,
Zugang und ÖV,6,Bushaltestelle Parchimer Allee vor Fritz-Reuter-Allee,0,4598660,5813467,9705506,,,,,,,
Zugang und ÖV,7,Bushaltestelle Parchimer Allee hinter Fritz-Reuter-Allee,0,4598645,5813494,9705507,,,,,,,
,,,,,,,,,,,,,
Bauwerk,35,U Blaschkoallee,,4598610,5814230,80201,9080201,,,,,,
Zwischenpunkt,9,Bahnsteig U7(Rolltreppe Fritz-Reuter-Allee/Teterower Straße/Stavenhagener Straße),-1,4598630,5814147,9705609,,,,,,,
Zwischenpunkt,11,Bahnsteig U7 (Rolltreppe Blaschkoallee/Ämter/Park am Buschkrug),-1,4598612,5814280,9705611,,,,,,,
Zugang,14,Zugang (Aufzug) Fritz-Reuter-Allee hinter Blaschkoallee,0,4598621,5814212,9705614,,,,,,,
Zugang,2,Zugang (Treppe) Fritz-Reuter-Allee/Teterower Straße/Stavenhagener Straße,0,4598637,5814133,9705602,,,,,,,
Zugang,3,Zugang (Rolltreppe) Fritz-Reuter-Allee/Teterower Straße/Stavenhagener Straße,0,4598634,5814132,9705603,,,,,,,
Zwischenpunkt,15,Bahnsteig U7 (Zugang Aufzug Fritz-Reuter-Allee hinter Blaschkoallee),-1,4598621,5814212,9725615,,,,,,,
Zugang und ÖV,12,Bushaltestelle Fritz-Reuter-Allee vor Blaschkoallee,0,4598627,5814199,9705612,,,,,,,
Zugang und ÖV,6,Bushaltestelle Blaschkoallee hinter Fritz-Reuter-Allee,0,4598590,5814245,9705606,,,,,,,
Zwischenpunkt,10,Bahnsteig U7 (Treppe Blaschkoallee/Ämter/Park am Buschkrug),-1,4598609,5814279,9705610,,,,,,,
Zugang,5,Zugang (Rolltreppe) Blaschkoallee/Ämter/Park am Buschkrug,0,4598609,5814293,9705605,,,,,,,
Zugang und ÖV,7,Bushaltestelle Blaschkoallee vor Fritz-Reuter-Allee,0,4598590,5814234,9705607,,,,,,,
Zwischenpunkt,8,Bahnsteig U7 (Treppe Fritz-Reuter-Allee/Teterower Straße/Stavenhagener Straße),-1,4598634,5814148,9705608,,,,,,,
ÖV,1,Bahnsteig U7,-1,4598626,5814207,9705601,,,,,,,
Zugang,4,Zugang (Treppe) Blaschkoallee/Ämter/Park am Buschkrug,0,4598606,5814292,9705604,,,,,,,
Zugang und ÖV,13,Bushaltestelle Fritz-Reuter-Allee vor Blaschkoallee,0,4598635,5814208,9705613,,,,,,,
,,,,,,,,,,,,,
Bauwerk,36,U Grenzallee,,4598300,5815460,80202,9080202,,,,,,
Zwischenpunkt,7,Bahnsteig U7 (Treppe zum Zwischengeschoss Buschkrugallee),-2,4598298,5815390,9705707,,,,,,,
Zwischenpunkt,8,Zwischengeschoss Karl-Marx-Straße (Treppe zum Bahnsteig U7),-1,4598298,5815389,9705708,,,,,,,
Zwischenpunkt,9,Zwischengeschoss  Buschkrugallee (Treppe zum Bahnsteig U7),-1,4598298,5815390,9705709,,,,,,,
Zwischenpunkt,10,Zwischengeschoss Karl-Marx-Straße (Treppe Karl-Marx-Straße/Grenzallee),-1,4598298,5815389,9705710,,,,,,,
Zugang,3,Zugang (Treppe) Buschkrugallee/Jahnstraße,0,4598347,5815313,9705703,,,,,,,
Zugang,2,Zugang (Treppe) Karl-Marx-Straße/Grenzallee,0,4598246,5815477,9705702,,,,,,,
ÖV,1,Bahnsteig U7,-2,4598297,5815394,9705701,,,,,,,
Zugang und ÖV,12,Bushaltestelle Grenzallee hinter Buschkrugallee,0,4598331,5815501,9705712,,,,,,,
Zwischenpunkt,11,Zwischengeschoss Buschkrugallee (Treppe Buschkrugallee/Jahnstraße),-1,4598298,5815389,9705711,,,,,,,
Zugang und ÖV,4,Bushaltestelle Buschkrugallee hinter Grenzallee,0,4598225,5815514,9705704,,,,,,,
Zugang und ÖV,5,Bushaltestelle Karl-Marx-Straße Nr.277 hinter Grenzallee,0,4598223,5815547,9705705,,,,,,,
Zwischenpunkt,6,Bahnsteig U7 (Treppe zum Zwischengeschoss  Karl-Marx-Straße),-2,4598298,5815390,9705706,,,,,,,
,,,,,,,,,,,,,
Bauwerk,39,U Möckernbrücke,,4594040,5819320,17104,9017104,,,,,,
Zwischenpunkt,29,Bahnsteig U7 (Treppe zum Zwischengeschoss U7),-2,4594010,5819291,9706129,,,,,,,
